Marca,Nombre,Género,Familia,Precio USD,Volumen ML,Notas Salida,Notas Corazón,Notas Fondo
Armaf,ARMAF CLUB DE NUIT INTENSE FEMENINO 105ML,Femenino,Floral,35,105,"Peonía; Almizcle; Vainilla","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA JORGE DI PROFUMO DEEP BLUE 100ML,Masculino,Acuático,19,100,"Ámbar gris; Menta; Cedro","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA BADE'E AL OUD NOBLE BLUSH 100ML,Femenino,Oriental,27,100,"Ámbar; Azafrán; Pachulí","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Fragrance World,FRAGRANCE WORLD SEDLEY 100ML,Masculino,Aromático,24,100,"Lavanda; Cedro; Almizcle","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Maison Alhambra,MAISON ALHAMBRA YEAH! PARFUM EDP 100ML,Masculino,Cítrico,23,100,"Limón; Bergamota; Almizcle blanco","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Rayhaan,RAYHAAN WOLF 100ML,Masculino,Amaderado,42,100,"Bergamota; Ámbar; Cedro","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Orientica,ORIENTICA ROYAL AMBER 80ML,Unisex,Oriental,72,80,"Canela; Resinas; Pachulí","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Al Haramain,AL HARAMAIN DETOUR ECO 100ML,Masculino,Cítrico,27,100,"Té verde; Bergamota; Naranja","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
French Avenue,FRENCH AVENUE AVE SWEET PARADISE 100ML,Femenino,Gourmand,37,100,"Pera; Cedro; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN AMBER OUD ROUGE 120ML,Masculino,Oriental,50,120,"Bergamota; Oud; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF CLUB DE NUIT LIONHEART MAN 100ML,Masculino,Amaderado,41,100,"Pimienta negra; Pachulí; Cardamomo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Al Haramain,AL HARAMAIN AMBER OUD GOLD EDITION 120ML,Unisex,Oriental,62,120,"Resinas; Ámbar; Azafrán","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Rasasi,RASASI HAWAS FOR HIM ICE 100ML,Masculino,Acuático,48,100,"Bergamota; Notas marinas; Limón","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Armaf,ARMAF ODYSSEY BAHAMAS 100ML,Masculino,Acuático,36,100,"Bergamota; Limón; Menta","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA FAKHAR EXTRAIT GOLD 100ML,Masculino,Oriental,26,100,"Resinas; Pachulí; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Afnan,AFNAN TURATHI BLUE 90ML,Masculino,Acuático,39,90,"Bergamota; Limón; Menta","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Maison Alhambra,MAISON ALHAMBRA GLACIER BELLA 100ML,Femenino,Floral,25,100,"Violeta; Bergamota; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF CLUB DE NUIT SILLAGE 105ML,Masculino,Floral,39,105,"Vainilla; Violeta; Limón","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA HAYAATI FLORENCE 100ML,Femenino,Floral,20,100,"Lirio; Rosa; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Rayhaan,RAYHAAN LION 100ML,Masculino,Amaderado,41,100,"Cardamomo; Ámbar; Cedro","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA KHAMRAH 100ML,Unisex,Oriental,28,100,"Canela; Ámbar; Pimienta rosa","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
French Avenue,FRENCH AVENUE PINNACE NOIR 100ML,Masculino,Aromático,45,100,"Romero; Lavanda; Salvia","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA HIS CONFESSION 100ML,Masculino,Amaderado,38,100,"Cardamomo; Vetiver; Ámbar","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Maison Alhambra,MAISON ALHAMBRA LOVE SPARK 80ML,Femenino,Floral,21,80,"Bergamota; Rosa; Jazmín","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA TERIAQ 100ML,Femenino,Floral,32,100,"Lirio; Limón; Jazmín","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA PHILOS ROSSO 100ML,Masculino,Oriental,18,100,"Jengibre; Pimienta rosa; Oud","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Lattafa,LATTAFA AL NOBLE AMEER 100ML,Masculino,Amaderado,28,100,"Cedro; Oud; Ámbar","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Emper,EMPER BLUE STALLION 100ML,Masculino,Acuático,30,100,"Geranio; Lavanda; Almizcle","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Al Haramain,AL HARAMAIN L'AVENTURE 100ML,Masculino,Aromático,42,100,"Lavanda; Romero; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
French Avenue,FRENCH AVENUE GENESIS AQUARIUS 90ML,Masculino,Acuático,44,90,"Cedro; Geranio; Limón","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Armaf,ARMAF ODYSSEY MANDARIN SKY 100ML,Masculino,Cítrico,33,100,"Cedro; Almizcle blanco; Neroli","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Al Haramain,AL HARAMAIN AMBER OUD GOLD EDITION 200ML,Unisex,Oriental,88,200,"Vainilla; Canela; Incienso","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA THE MYTH 100ML,Masculino,Oriental,21,100,"Oud; Canela; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA ALPINE HOMME SPORT 100ML,Masculino,Aromático,26,100,"Romero; Clavo; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA NICHE EMARATI AL DANA 100ML,Masculino,Oriental,53,100,"Resinas; Bergamota; Incienso","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Fragrance World,FRAGRANCE WORLD HAYAATI BEAU 100ML,Masculino,Oriental,24,100,"Rosa; Bergamota; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA BAROQUE ROUGE 540 100ML,Femenino,Floral,21,100,"Rosa; Cedro; Pera","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Paris Corner,PARIS CORNER TASKEEN CARAMEL CASCADE 100ML,Femenino,Gourmand,27,100,"Café; Praliné; Ámbar","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Al Wataniah,AL WATANIAH ROSE MYSTERY INTENSE 100ML,Masculino,Floral,22,100,"Almizcle; Lirio; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
French Avenue,FRENCH AVENUE SPECTRE GHOST 80ML,Masculino,Acuático,47,80,"Ámbar gris; Notas marinas; Cedro","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Maison Alhambra,MAISON ALHAMBRA PINK VELVET 80ML,Femenino,Floral,29,80,"Pera; Jazmín; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Bharara,BHARARA NICHE FEMME 100ML,Femenino,Floral,57,100,"Lirio; Cedro; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Rave,RAVE NOW MEN 100ML,Masculino,Aromático,24,100,"Vetiver; Romero; Almizcle","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
French Avenue,FRENCH AVENUE GENESIS ARIES 90ML,Femenino,Floral,44,90,"Bergamota; Ámbar; Limón","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA YARA MOI 100ML,Femenino,Floral,24,100,"Bergamota; Lirio; Pera","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Grandeur,GRANDEUR TUBBEES BUBBLE GUM 50ML,Kids,Gourmand,12,50,"Almizcle dulce; Frutas rojas; Tonka","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA YARA ELIXIR 100ML,Femenino,Floral,35,100,"Bergamota; Jazmín; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF CLUB DE NUIT WOMAN 105ML,Femenino,Floral,39,105,"Bergamota; Rosa; Cedro","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA ISHQ AL SHUYUKH GOLD 100ML,Masculino,Oriental,30,100,"Incienso; Vainilla; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Rayhaan,RAYHAAN PACIFIC ALOHA 100ML,Masculino,Acuático,56,100,"Almizcle; Menta; Geranio","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
French Avenue,FRENCH AVENUE ESSENCE DE BLANC 100ML,Masculino,Amaderado,47,100,"Bergamota; Vetiver; Musgo de roble","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Grandeur,GRANDEUR TUBBEES UNICORN VANILLA 50ML,Kids,Gourmand,12,50,"Vainilla; Café; Frutas rojas","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA ECLAIRE BANOFFI 100ML,Femenino,Gourmand,41,100,"Praliné; Ámbar; Vainilla","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Al Wataniah,AL WATANIAH AMEERATI 100ML,Femenino,Floral,20,100,"Violeta; Jazmín; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA AL NOBLE WAZEER 100ML,Masculino,Amaderado,24,100,"Cedro; Cardamomo; Ámbar","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF ODYSSEY EAU DE MONTAGNE 100ML,Femenino,Aromático,24,100,"Hiedra; Musgo; Menta","Jazmín; Violeta; Hiedra","Vetiver; Musgo; Cedro"
Lattafa,LATTAFA OPULENT DUBAI 100ML,Femenino,Oriental,24,100,"Oud; Almizcle; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA SHAHEEN GOLD 100ML,Masculino,Oriental,28,100,"Canela; Bergamota; Vainilla","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA AJWAA 90ML,Masculino,Oriental,40,90,"Oud; Rosa; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA SENSUAL VANILLA 80ML,Femenino,Gourmand,21,80,"Café; Praliné; Vainilla","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Dumont,DUMONT NITRO RED 100ML,Masculino,Oriental,45,100,"Jengibre; Clavo; Pachulí","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Al Wataniah,AL WATANIAH DURRAT AL AROOS 85ML,Femenino,Floral,21,85,"Bergamota; Cedro; Vainilla","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Haramain,AL HARAMAIN AMBER OUD PRIVATE EDITION 120ML,Masculino,Oriental,62,120,"Resinas; Bergamota; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA JEAN LOWE NOIR 100ML,Masculino,Oriental,30,100,"Incienso; Pachulí; Azafrán","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Bharara,BHARARA DOUBLE BLEU 100ML,Masculino,Acuático,50,100,"Cedro; Ámbar gris; Menta","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA ASAD BOURBON 100ML,Masculino,Amaderado,38,100,"Sándalo; Cedro; Ámbar","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Al Haramain,AL HARAMAIN AMBER OUD EXCLUSIF PARFUM CLASSIC 60ML,Masculino,Oriental,62,60,"Canela; Incienso; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA JORGE DI PROFUMO AQUA 100ML,Masculino,Acuático,23,100,"Limón; Lavanda; Cedro","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA ADEEB 80ML,Masculino,Amaderado,23,80,"Ámbar; Musgo de roble; Vetiver","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA MAAHIR GOLD 100ML,Unisex,Oriental,30,100,"Azafrán; Canela; Almizcle","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA YEAH! MAN EDP 100ML,Masculino,Cítrico,21,100,"Mandarina; Petit grain; Cedro","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Al Wataniah,AL WATANIAH GHALA 100ML,Femenino,Floral,22,100,"Peonía; Limón; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF CLUB DE NUIT INTENSE 105ML,Masculino,Aromático,38,105,"Lavanda; Vetiver; Salvia","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Rasasi,RASASI HAWAS FOR HIM MALIBU 100ML,Masculino,Cítrico,48,100,"Neroli; Bergamota; Té verde","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Al Haramain,AL HARAMAIN AMBER OUD DUBAI NIGHT 100ML,Masculino,Oriental,57,100,"Ámbar; Canela; Pachulí","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ISLAND BLISS 100ML,Femenino,Floral,41,100,"Almizcle; Cedro; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA PRIDE PISA 100ML,Masculino,Amaderado,45,100,"Sándalo; Pimienta negra; Musgo de roble","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF CLUB DE NUIT ICONIC 105ML,Masculino,Aromático,45,105,"Vetiver; Lavanda; Romero","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Armaf,ARMAF CLUB DE NUIT OUD PARFUM 105ML,Femenino,Oriental,52,105,"Vainilla; Ámbar; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA ASAD ELIXIR 100ML,Masculino,Amaderado,38,100,"Musgo de roble; Bergamota; Pimienta negra","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Al Wataniah,AL WATANIAH SABAH AL WARD 100ML,Femenino,Floral,21,100,"Violeta; Peonía; Almizcle","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF ETER DESERT BREEZE 100ML,Masculino,Acuático,50,100,"Bergamota; Menta; Ámbar gris","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Maison Alhambra,MAISON ALHAMBRA GLACIER BOLD 100ML,Masculino,Acuático,22,100,"Bergamota; Lavanda; Limón","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Rayhaan,RAYHAAN ELIXIR 100ML,Masculino,Oriental,45,100,"Almizcle; Incienso; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ODYSSEY AQUA 100ML,Masculino,Acuático,39,100,"Lavanda; Bergamota; Geranio","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Bharara,BHARARA VIKING BEIRUT 100ML,Masculino,Aromático,58,100,"Lavanda; Vetiver; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA AL NOBLE SAFEER 100ML,Masculino,Amaderado,27,100,"Sándalo; Bergamota; Vetiver","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA SHAHEEN SILVER 100ML,Masculino,Amaderado,30,100,"Cedro; Bergamota; Sándalo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA RAMZ SILVER 100ML,Masculino,Aromático,19,100,"Lavanda; Cedro; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Grandeur,GRANDEUR TUBBEES CHOCOLATE FUDGE 50ML,Kids,Gourmand,12,50,"Vainilla; Vainilla; Café","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA CONFIDENTIAL PRIVATE GOLD 100ML,Masculino,Oriental,21,100,"Azafrán; Canela; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Bharara,BHARARA NICHE PARFUM 100ML,Masculino,Oriental,60,100,"Canela; Rosa; Pachulí","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA SEHR MAGIC OF 100ML,Femenino,Oriental,36,100,"Rosa; Incienso; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Zimaya,ZIMAYA AMBER IS GREAT 100ML,Masculino,Oriental,32,100,"Resinas; Rosa; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Maison Alhambra,MAISON ALHAMBRA ALIVE NOW 100ML,Femenino,Floral,28,100,"Cedro; Limón; Ámbar","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
French Avenue,FRENCH AVENUE SPECTRE WRAITH 80ML,Masculino,Amaderado,49,80,"Ámbar; Cardamomo; Oud","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Bharara,BHARARA KING EDP 100ML,Masculino,Oriental,68,100,"Pachulí; Almizcle; Incienso","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Rayhaan,RAYHAAN DIVINE 100ML,Femenino,Floral,66,100,"Almizcle; Peonía; Jazmín","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA ASDAAF AMEERAT AL ARAB PRIVE ROSE 100ML,Femenino,Floral,23,100,"Limón; Ámbar; Rosa","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF CLUB DE NUIT BLING 75ML,Masculino,Floral,51,75,"Lirio; Ámbar; Vainilla","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF ODYSSEY HOMME FOR MEN 100ML,Masculino,Aromático,29,100,"Cedro; Tonka; Romero","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA KHAMRAH QAHWA 100ML,Unisex,Oriental,27,100,"Clavo; Oud; Pachulí","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
French Avenue,FRENCH AVENUE COCOA MORADO 100ML,Femenino,Gourmand,32,100,"Vainilla; Praliné; Ámbar","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
French Avenue,FRENCH AVENUE GENESIS GEMINI 90ML,Masculino,Aromático,44,90,"Clavo; Geranio; Romero","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Rasasi,RASASI HAWAS ELIXIR 100ML,Masculino,Oriental,36,100,"Oud; Canela; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA ANSAAM SILVER 100ML,Masculino,Aromático,34,100,"Vetiver; Salvia; Romero","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA AJWAD PINK TO PINK 60ML,Femenino,Floral,20,60,"Violeta; Vainilla; Pera","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA KHAMRAH WAHA 100ML,Masculino,Oriental,69,100,"Vainilla; Pachulí; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Grandeur,GRANDEUR TUBBEES PINK SUGAR 50ML,Kids,Gourmand,12,50,"Praliné; Tonka; Vainilla","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA BADE'E AL OUD FOR GLORY 100ML,Masculino,Oriental,24,100,"Rosa; Ámbar; Azafrán","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA HER CONFESSION 100ML,Femenino,Floral,36,100,"Almizcle; Pera; Bergamota","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Fragrance World,FRAGRANCE WORLD STAR MEN NEBULA 100ML,Masculino,Aromático,21,100,"Cedro; Vetiver; Lavanda","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Rayhaan,RAYHAAN ITALIA 100ML,Masculino,Aromático,59,100,"Tonka; Lavanda; Geranio","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Lattafa,LATTAFA QIMMAH 100ML,Masculino,Oriental,19,100,"Ámbar; Vainilla; Incienso","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Emper,EMPER PHANTOM MY HERO 100ML,Masculino,Amaderado,22,100,"Musgo de roble; Pimienta negra; Bergamota","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Al Haramain,AL HARAMAIN DETOUR NOIR INTENSE 100ML,Masculino,Amaderado,31,100,"Pimienta negra; Cedro; Pachulí","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA MAYAR CHERRY 100ML,Femenino,Gourmand,25,100,"Lirio; Rosa; Jazmín","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF MISS ARMAF CATWALK 100ML,Femenino,Floral,38,100,"Cedro; Pera; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA GLACIER POUR HOMME 100ML,Masculino,Acuático,23,100,"Bergamota; Lavanda; Ámbar gris","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Rayhaan,RAYHAAN JUNGLE VIBE 100ML,Masculino,Aromático,39,100,"Musgo; Menta; Cedro","Jazmín; Violeta; Hiedra","Vetiver; Musgo; Cedro"
Rasasi,RASASI HAWAS FOR HIM KOBRA 100ML,Masculino,Oriental,49,100,"Ámbar; Jengibre; Azafrán","Canela; Clavo; Jengibre","Oud; Pachulí; Ámbar"
Dumont,DUMONT NITRO WHITE 100ML,Masculino,Aromático,42,100,"Salvia; Vetiver; Cedro","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Paris Corner,PARIS CORNER VOUX TURQUOISE 100ML,Masculino,Acuático,38,100,"Limón; Notas marinas; Lavanda","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Afnan,AFNAN HISTORIC OLMEDA 100ML,Masculino,Amaderado,33,100,"Pimienta negra; Bergamota; Ámbar","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Maison Alhambra,MAISON ALHAMBRA REYNA 100ML,Femenino,Floral,21,100,"Pera; Bergamota; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF ETER MAGICAL OUD 100ML,Masculino,Oriental,45,100,"Oud; Rosa; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
French Avenue,FRENCH AVENUE GENESIS PISCES 90ML,Masculino,Acuático,44,90,"Lavanda; Notas marinas; Almizcle","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Maison Alhambra,MAISON ALHAMBRA KISMET FOR MEN 100ML,Masculino,Amaderado,29,100,"Sándalo; Ámbar; Bergamota","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF ODYSSEY LIMONI 100ML,Masculino,Cítrico,26,100,"Petit grain; Mandarina; Bergamota","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Maison Alhambra,MAISON ALHAMBRA ROSE SEDUCTION VIP FEMME 100ML,Femenino,Floral,29,100,"Lirio; Cedro; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Grandeur,GRANDEUR TUBBEES COOKIES & CREAM 50ML,Kids,Gourmand,12,50,"Almizcle dulce; Caramelo; Ámbar","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Armaf,ARMAF ODYSSEY MARSHMALLOW 100ML,Femenino,Gourmand,31,100,"Almizcle dulce; Frutas rojas; Vainilla","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Al Wataniah,AL WATANIAH OUD MYSTERY INTENSE 100ML,Masculino,Oriental,22,100,"Rosa; Incienso; Vainilla","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
French Avenue,FRENCH AVENUE AETHER EXTRAIT 100ML,Masculino,Amaderado,50,100,"Pimienta negra; Vetiver; Cardamomo","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF CLUB DE NUIT IMPERIALE 105ML,Femenino,Floral,44,105,"Limón; Jazmín; Cedro","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA JEAN LOWE NOUVEAU 100ML,Masculino,Amaderado,27,100,"Oud; Pachulí; Cedro","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF ETER ARABIAN SKY 100ML,Masculino,Oriental,50,100,"Bergamota; Oud; Rosa","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ODYSSEY AOUD 100ML,Masculino,Oriental,27,100,"Rosa; Bergamota; Almizcle","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Zimaya,ZIMAYA OUD IS GREAT 100ML,Masculino,Oriental,34,100,"Resinas; Incienso; Vainilla","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Armaf,ARMAF ODYSSEY MANDARIN SKY ELIXIR 100ML,Masculino,Cítrico,53,100,"Té verde; Cedro; Vetiver","Neroli; Petit grain; Té verde","Almizcle blanco; Cedro; Vetiver"
Rasasi,RASASI HAWAS FOR HIM 100ML,Masculino,Acuático,31,100,"Notas marinas; Ámbar gris; Bergamota","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Khadlaj,KHADLAJ ISLAND 100ML,Masculino,Acuático,38,100,"Cedro; Ámbar gris; Menta","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Lattafa,LATTAFA ASDAAF AMEERAT AL ARAB 100ML,Femenino,Floral,21,100,"Limón; Vainilla; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
French Avenue,FRENCH AVENUE GENESIS LEO 90ML,Femenino,Floral,44,90,"Peonía; Ámbar; Cedro","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
